Year,Population 
1950,2 536 275
1951,2 583 817
1952,2 630 584
1953,2 677 230
1954,2 724 302
1955,2 772 243
1956,2 821 383
1957,2 871 952
1958,2 924 081
1959,2 977 825
1960,3 033 213
1961,3 090 305
1962,3 149 244
1963,3 210 271
1964,3 273 671
1965,3 339 593
1966,3 408 121
1967,3 479 054
1968,3 551 881
1969,3 625 906
1970,3 700 578
1971,3 775 791
1972,3 851 545
1973,3 927 539
1974,4 003 448
1975,4 079 087
1976,4 154 288
1977,4 229 201
1978,4 304 377
1979,4 380 586
1980,4 458 412
1981,4 537 846
1982,4 618 776
1983,4 701 531
1984,4 786 484
1985,4 873 782
1986,4 963 633
1987,5 055 636
1988,5 148 557
1989,5 240 735
1990,5 330 943
1991,5 418 759
1992,5 504 401
1993,5 588 095
1994,5 670 320
1995,5 751 474
1996,5 831 565
1997,5 910 566
1998,5 988 846
1999,6 066 867
2000,6 145 007
2001,6 223 412
2002,6 302 150
2003,6 381 409
2004,6 461 371
2005,6 542 159
2006,6 623 848
2007,6 706 419
2008,6 789 771
2009,6 873 741
2010,6 958 169
2011,7 043 009
2012,7 128 177
2013,7 213 426
2014,7 298 453
2015,7 383 009
2016,7 466 964
2017,7 550 262
2018,7 632 819
2019,7 714 577
2020,7 795 482
2021,7 875 465
2022,7 954 469
2023,8 032 487
2024,8 109 533
2025,8 185 614
2026,8 260 710
2027,8 334 802
2028,8 407 900
2029,8 480 027
2030,8 551 199
2031,8 621 416
2032,8 690 674
2033,8 758 973
2034,8 826 316
2035,8 892 702
2036,8 958 127
2037,9 022 590
2038,9 086 104
2039,9 148 684
2040,9 210 337
2041,9 271 063
2042,9 330 846
2043,9 389 656
2044,9 447 455
2045,9 504 210
2046,9 559 909
2047,9 614 545
2048,9 668 093
2049,9 720 526
2050,9 771 823
2051,9 821 979
2052,9 870 996
2053,9 918 868
2054,9 965 592
2055,10 011 171
2056,10 055 610
2057,10 098 926
2058,10 141 161
2059,10 182 370
2060,10 222 598
2061,10 261 868
2062,10 300 193
2063,10 337 605
2064,10 374 135
2065,10 409 808
2066,10 444 647
2067,10 478 663
2068,10 511 867
2069,10 544 259
2070,10 575 847
2071,10 606 640
2072,10 636 652
2073,10 665 879
2074,10 694 317
2075,10 721 964
2076,10 748 826
2077,10 774 916
2078,10 800 249
2079,10 824 841
2080,10 848 708
2081,10 871 858
2082,10 894 299
2083,10 916 050
2084,10 937 133
2085,10 957 566
2086,10 977 356
2087,10 996 502
2088,11 015 005
2089,11 032 858
2090,11 050 055
2091,11 066 593
2092,11 082 465
2093,11 097 668
2094,11 112 194
2095,11 126 033
2096,11 139 173
2097,11 151 597
2098,11 163 286
2099,11 174 219
2100,11 184 368
